arxiv_id	status	pdf_path	cited_by
1403.1539	pdf-only	pdf/1403/1403.1539v2.pdf	Simulating Quantum Hamiltonian Dynamics
1403.2228	pdf-only	pdf/1403/1403.2228v2.pdf	Searching
1403.2975	pdf-only	pdf/1403/1403.2975v3.pdf	Factoring
1403.5861	pdf-only	pdf/1403/1403.5861v3.pdf	Deutsch-Jozsa
1404.7115	pdf-only	pdf/1404/1404.7115v1.pdf	Simulating Quantum Hamiltonian Dynamics
1405.7479	pdf-only	pdf/1405/1405.7479v2.pdf	Decoding
1407.5088	pdf-only	pdf/1407/1407.5088v1.pdf	Machine Learning
1408.1816	pdf-only	pdf/1408/1408.1816v3.pdf	Pattern matching
1408.3106	pdf-only	pdf/1408/1408.3106v2.pdf	Linear Systems; Machine Learning
1409.3097	pdf-only	pdf/1409/1409.3097v1.pdf	Machine Learning
1409.3435	pdf-only	pdf/1409/1409.3435v3.pdf	Preparing Eigenstates and Thermal States
1409.5876	pdf-only	pdf/1409/1409.5876v2.pdf	Searching
1410.1434	pdf-only	pdf/1410/1410.1434v2.pdf	Quantum Cryptanalysis
1411.4028	pdf-only	pdf/1411/1411.4028v1.pdf	Quantum Approximate Optimization
1411.5729	pdf-only	pdf/1411/1411.5729v1.pdf	Bernstein-Vazirani
1412.3489	pdf-only	pdf/1412/1412.3489v2.pdf	Machine Learning
1412.4687	pdf-only	pdf/1412/1412.4687v1.pdf	Simulating Quantum Hamiltonian Dynamics
1412.6062	pdf-only	pdf/1412/1412.6062v2.pdf	Quantum Approximate Optimization
1501.01715	pdf-only	pdf/1501/1501.01715v3.pdf	Simulating Quantum Hamiltonian Dynamics; Solving Linear Differential Equations
1503.06319	pdf-only	pdf/1503/1503.06319v2.pdf	Simulating Quantum Hamiltonian Dynamics
1504.06987	pdf-only	pdf/1504/1504.06987v3.pdf	Statistical Difference; Partition Functions; Simulated Annealing
1505.03424	not-in-raw		Quantum Approximate Optimization
1505.06552	pdf-only	pdf/1505/1505.06552v2.pdf	Solving Linear Differential Equations
1507.03126	pdf-only	pdf/1507/1507.03126v1.pdf	Junta Testing and Group Testing
1508.00570	pdf-only	pdf/1508/1508.00570v2.pdf	Preparing Eigenstates and Thermal States
1508.01327	pdf-only	pdf/1508/1508.01327v3.pdf	Searching
1509.02374	pdf-only	pdf/1509/1509.02374v2.pdf	Polynomial Quantum Speedups for Constraint Satisfaction Problems
1509.05806	pdf-only	pdf/1509/1509.05806v2.pdf	Non-Abelian Hidden Subgroup
1509.09271	pdf-only	pdf/1509/1509.09271v2.pdf	Polynomial interpolation
1510.05836	pdf-only	pdf/1510/1510.05836v3.pdf	Quantum Cryptanalysis
1510.06356	pdf-only	pdf/1510/1510.06356v1.pdf	Machine Learning
