kind	arxiv_id	ref_id	ref_number	cited_by	citation
no-arxiv		Dorn	151	Matrix Rank	Sebastian Dörn and Thomas Thierauf The quantum query complexity of the determinant. Information Processing Letters Vol. 109, No. 6, pg. 305-328, 2009.
no-arxiv		G_NAHS	44	Non-Abelian Hidden Subgroup	D. Gavinsky Quantum solution to the hidden subgroup problem for poly-near-Hamiltonian-groups. Quantum Information and Computation , 4:229-235, 2004.
no-arxiv		Hallgren_Russell	51	Non-Abelian Hidden Subgroup	Sean Hallgren, Alexander Russell, and Amnon Ta-Shma Normal subgroup reconstruction and quantum computation using group representations. SIAM Journal on Computing , 32(4):916-934, 2003.
no-arxiv		NN21	435	Pattern matching	Pradeep Niroula and Yunseong Nam A quantum algorithm for string matching NPJ Quantum Information , 7:37, 2021.
no-arxiv		Hallgren_Pell	49	Pell's Equation; Principal Ideal	Sean Hallgren Polynomial-time quantum algorithms for Pell's equation and the principal ideal problem. In Proceedings of the 34th ACM Symposium on Theory of Computing , 2002.
no-arxiv		CGF	134	Polynomial Quantum Speedups for Constraint Satisfaction Problems; Searching	Nicolas J. Cerf, Lov K. Grover, and Colin P. Williams Nested quantum search and NP-hard problems. Applicable Algebra in Engineering, Communication and Computing , 10 (4-5):311-338, 2000.
no-arxiv		HRS05	391	Polynomial interpolation	Sean Hallgren, Alexander Russell, and Igor Shparlinski Quantum noisy rational function reconstruction Proceedings of COCOON 2005 , pg. 420-429.
no-arxiv		IKS17	392	Polynomial interpolation	G. Ivanyos, M. Karpinski, M. Santha, N. Saxena, and I. Shparlinski Polynomial interpolation and identity testing from high powers over finite fields Algorithmica , 80:560-575, 2017.
no-arxiv		RS04	390	Polynomial interpolation	Alexander Russell and Igor E. Shparlinski Classical and quantum function reconstruction via character evaluation Journal of Complexity , 20:404-422, 2004.
no-arxiv		interp1	360	Polynomial interpolation	Dan Boneh and Mark Zhandry Quantum-secure message authentication codes In Proceedings of Eurocrypt , pg. 592-608, 2013.
no-arxiv		AKS1	393	Primality Proving	Qi Cheng Primality Proving via One Round in ECPP and One Iteration in AKS Journal of Cryptology , Volume 20, Issue 3, pg. 375-387, July 2007.
no-arxiv		AKS2	394	Primality Proving	Daniel J. Bernstein Proving primality in essentially quartic random time Mathematics of Computation , Vol. 76, pg. 389-403, 2007.
no-arxiv		ECPP	395	Primality Proving	F. Morain Implementing the asymptotically fast version of the elliptic curve primality proving algorithm Mathematics of Computation , Vol. 76, pg. 493-505, 2007.
no-arxiv		Greathouse	399	Primality Proving	Charles Greathouse personal communication , 2019.
no-arxiv		HVDH	398	Primality Proving	David Harvey and Joris Van Der Hoeven Integer multiplication in time \( O(n \log \ n) \) hal-02070778 , 2019.
no-arxiv		B09	316	Quantum Cryptanalysis	Daniel J. Bernstein Cost analysis of hash collisions: Will quantum computers make SHARCS obsolete? In Proceedings of the 4th Workshop on Special-purpose Hardware for Attacking Cryptographic Systems (SHARCS'09) , pg. 105-116, 2009. [available here ]
no-arxiv		DW21	538	Quantum Cryptanalysis	Leo Ducas and Wessel van Woerden A note on a Claim of Eldar and Hallgren: LLL already solves it github , 2021.
no-arxiv		F15	287	Quantum Cryptanalysis	Scott Fluhrer Quantum Cryptanalysis of NTRU Cryptology ePrint Archive: Report 2015/676 , 2015.
no-arxiv		KM10	289	Quantum Cryptanalysis	H. Kuwakado and M. Morii Quantum distinguisher between the 3-round Feistel cipher and the random permutation In Proceedings of IEEE International Symposium on Information Theory (ISIT) , pg. 2682-2685, 2010.
no-arxiv		KM12	290	Quantum Cryptanalysis	H. Kuwakado and M. Morii Security on the quantum-type Even-Mansour cipher In Proceedings of International Symposium on Information Theory and its Applications (ISITA) , pg. 312-316, 2012.
no-arxiv		BBHT98	15	Searching	M. Boyer, G. Brassard, P. Høyer, and A. Tapp Tight bounds on quantum searching. Fortschritte der Physik , 46:493-505, 1998.
no-arxiv		KLPF08	255	Searching	L. A. B. Kowada, C. Lavor, R. Portugal, and C. M. H. de Figueiredo A new quantum algorithm for solving the minimum searching problem International Journal of Quantum Information, Vol. 6, No. 3, pg. 427-436 , 2008.
no-arxiv		Mos98	73	Searching	M. Mosca Quantum searching, counting, and amplitude amplification by eigenvector analysis. In R. Freivalds, editor, Proceedings of International Workshop on Randomized Algorithms , pages 90-100, 1998.
no-arxiv		Childs_thesis	25	Simulating Quantum Hamiltonian Dynamics	Andrew M. Childs Quantum information processing in continuous time . PhD thesis, MIT, 2004.
no-arxiv		DPCSC15	379	Simulating Quantum Hamiltonian Dynamics	R. Di Candia, J. S. Pedernales, A. del Campo, E. Solano, and J. Casanova Quantum simulation of dissipative processes without reservoir engineering Scientific Reports 5:9981, 2015.
no-arxiv		Feynman	40	Simulating Quantum Hamiltonian Dynamics	Richard P. Feynman Simulating physics with computers. International Journal of Theoretical Physics , 21(6/7):467-488, 1982.
no-arxiv		LW23	507	Simulating Quantum Hamiltonian Dynamics	Xiantao Li and Chunhao Wang Succinct Description and Efficient Simulation of Non-Markovian Open Quantum Systems Communications in Mathematical Physics , 401:147-183, 2023.
no-arxiv		MSK22	504	Simulating Quantum Hamiltonian Dynamics	Mekena Metcalf, Emma Stone, Katherine Klymko, Alexander F Kemper, Mohan Sarovar, and Wibe A de Jong Quantum Markov chain Monte Carlo with digital dissipative dynamics on quantum computers Quantum Science and Technology , 7(2):025017, 2022.
no-arxiv		PW23	505	Simulating Quantum Hamiltonian Dynamics	Dhrumil Patel and Mark M. Wilde Wave Matrix Lindbladization I: Quantum Programs for Simulating Markovian Dynamics Open Systems & Information Dynamics , 30(2):2350010, 2023.
no-arxiv		PW23b	506	Simulating Quantum Hamiltonian Dynamics	Dhrumil Patel and Mark M. Wilde Wave Matrix Lindbladization II: General Lindbladians, Linear Combinations, and Polynomials Open Systems & Information Dynamics , 30(2):2350014, 2023.
no-arxiv		WW24	501	Simulating Quantum Hamiltonian Dynamics	Peter L. Walters and Fei Wang Path integral quantum algorithm for simulating non-Markovian quantum dynamics in open quantum systems Physical Review Research , 6:013135, 2024.
no-arxiv		XDG18	444	Solving Nonlinear Differential Equations	G. Xu, A. J. Daley, P. Givi, and R. D. Somma Turbulent mixing simulation via a quantum algorithm AIAA Journal 56(2):687-699, 2018.
no-arxiv		XDG19	445	Solving Nonlinear Differential Equations	G. Xu, A. J. Daley, P. Givi, and R. D. Somma Quantum algorithm for the computation of the reactant conversion rate in homogeneous turbulence Combustion Theory and Modelling 23(6):1090-1104, 2018.
no-arxiv		BCJ11	404	Subset-sum	Anja Becker, Jean-Sebastien Coron, and Antoine Joux Improved generic algorithms for hard knapsacks Proceedings of Eurocrypt 2011 pg. 364-385 [ IACR eprint 2011/474 ]
no-arxiv		BJLM13	178	Subset-sum	Daniel J. Bernstein, Stacey Jeffery, Tanja Lange, and Alexander Meurer Quantum algorithms for the subset-sum problem. from cr.yp.to .
no-arxiv		EHKS14	213	Unit Group	Kirsten Eisenträger, Sean Hallgren, Alexei Kitaev, and Fang Song A quantum algorithm for computing the unit group of an arbitrary degree number field In Proceedings of STOC 2014 pg. 293-302.
no-arxiv		Schmidt	116	Unit Group	Arthur Schmidt and Ulrich Vollmer Polynomial time quantum algorithm for the computation of the unit group of a number field. In Proceedings of the 37th Symposium on the Theory of Computing , pg. 475-480, 2005.
no-arxiv		Ambainis_matrix	6	Verifying Matrix Products	A. Ambainis, H. Buhrman, P. Høyer, M. Karpinizki, and P. Kurur Quantum matrix verification. Unpublished Manuscript, 2002.
not-in-raw	cond-mat/9804280			Adiabatic Algorithms	Tadashi Kadowaki and Hidetoshi Nishimori Quantum Annealing in the Transverse Ising Model Physical Review E , 58:5355, 1998. [ arXiv:cond-mat/9804280 ]
not-in-raw	2105.11105			Factoring	David Harvey and Markus Hittmeir A log-log speedup for exponent one-fifth deterministic integer factorization arXiv:2105.11105 , 2021.
not-in-raw	1505.03424			Quantum Approximate Optimization	Boaz Barak, Ankur Moitra, Ryan O'Donnell, Prasad Raghavendra, Oded Regev, David Steurer, Luca Trevisan, Aravindan Vijayaraghavan, David Witmer, and John Wright Beating the random assignment on constraint satisfaction problems of bounded degree arXiv:1505.03424 , 2015.
not-in-raw	cond-mat/0012334			Simulating Quantum Hamiltonian Dynamics	G. Ortiz, J.E. Gubernatis, E. Knill, and R. Laflamme Quantum algorithms for Fermionic simulations. Physical Review A 64: 022319, 2001. [ arXiv:cond-mat/0012334 ]
not-in-raw	math/0411623			Zeta Functions	Kiran S. Kedlaya Quantum computation of zeta functions of curves. Computational Complexity , 15:1-19, 2006. [ arXiv:math/0411623 ]
